,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
0,Snow White and the Seven Dwarfs (1937 film),"['David Hand', 'Perce Pearce', 'Larry Morey', 'Wilfred Jackson', 'Ben Sharpsteen']","['Ted Sears', 'Earl Hurd', 'Merrill De Maris']","['Snow White', 'Brothers Grimm']",['Walt Disney'],"['Adriana Caselotti', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins']","['Frank Churchill', 'Leigh Harline', 'Paul Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],['Carthay Circle Theatre'],['83 minutes'],['United States'],['English'],['$1.5 million[1]'],['$418 million[2]'],,,,,,,,
1,Pinocchio (1940 film),"['Ben Sharpsteen', 'Hamilton Luske', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']","['Ted Sears', 'Erdman Penner', 'Ted Sears\nOtto Englander\nWebb Smith\nWilliam Cottrell\nJoseph Sabo\nErdman Penner[1]\nAurelius Battaglia', 'Aurelius Battaglia']","['The Adventures of Pinocchio', 'Carlo Collodi']",['Walt Disney'],"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Ned Washington', 'Paul J. Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],"['Center Theatre', 'February\xa07,\xa01940\xa0(1940-02-07) (Center Theatre)[2]\nFebruary\xa023,\xa01940\xa0(1940-02-23) (United States)[3]', 'February\xa07,\xa01940\xa0(1940-02-07) (Center Theatre)[2]\nFebruary\xa023,\xa01940\xa0(1940-02-23) (United States)[3]']",['88 minutes'],['United States'],['English'],['$2.6 million[4]'],['$164\xa0million'],,,,,,,,
2,Fantasia (1940 film),"['James Algar', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Joe Grant', 'Dick Huemer']",,['Walt Disney'],"['Leopold Stokowski', 'Deems Taylor']",['See plot'],['Walt Disney Productions'],['RKO Radio Pictures'],,['126 minutes[1]'],['United States'],['English'],"['$2.28 million[2][3]', '$2.28 million[2][3]']","['$76.4–$83.3 million (United States and Canada)[4][5]', '$76.4–$83.3 million (United States and Canada)[4][5]']",['Deems Taylor'],['James Wong Howe'],"['\nNovember\xa013,\xa01940\xa0(1940-11-13)\n']",,,,,
3,The Reluctant Dragon (1941 film),"['Alfred Werker', 'Hamilton Luske', 'Jack Cutting', 'Ub Iwerks', 'Jack Kinney']",,,['Walt Disney'],"['Robert Benchley', 'Frances Gifford', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",['Walt Disney Productions'],['RKO Radio Pictures'],,['74 minutes'],['United States'],['English'],"['$600,000[2]']","['$960,000 (worldwide rentals) [3]']",,['Bert Glennon'],"['June\xa027,\xa01941\xa0(1941-06-27)[1]']","['Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'Kenneth Grahame', 'T. Hee', 'Joe Grant', 'Dick Huemer']",['Paul Weatherwax'],,,
4,Dumbo,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney']","['Joe Grant', 'Dick Huemer']",['Helen Aberson'],['Walt Disney'],"['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Hall Johnson Choir']","['Frank Churchill', 'Oliver Wallace']",['Walt Disney Productions'],['RKO Radio Pictures'],"['October\xa023,\xa01941\xa0(1941-10-23) (New York City)[1]\nOctober\xa031,\xa01941\xa0(1941-10-31) (U.S.)']",['64 minutes'],['United States'],['English'],"['$950,000[2]']","['>$1.3 million (est. United States/Canada rentals, 1941)[3]']",['John McLeish'],,,,,,,
5,Bambi,"['David Hand', 'James Algar']","['Perce Pearce', 'Larry Morey', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Ralph Wright']","['Bambi, a Life in the Woods', 'Felix Salten']",['Walt Disney'],['see below'],"['Frank Churchill', 'Edward H. Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['London', 'August\xa09,\xa01942\xa0(1942-08-09) (London)\nAugust\xa021,\xa01942\xa0(1942-08-21) (United States)[1]']",['70 minutes'],['United States'],['English'],"['$858,000[2]']",['$267.4 million[3]'],,,,,,,,
6,Saludos Amigos,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske']","['Homer Brightman', 'Joe Grant', 'Ted Sears', 'Roy Williams', 'Ralph Wright']",,['Walt Disney'],"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['August\xa024,\xa01942\xa0(1942-08-24) (Rio de Janeiro)\nFebruary\xa06,\xa01943\xa0(1943-02-06) (Boston)\nFebruary\xa019,\xa01943\xa0(1943-02-19) (United States)[1]']",['42 minutes'],['United States'],,,['$1 million (worldwide rentals) [2]'],,,,,,,,
7,Victory Through Air Power (film),"['James Algar', 'Clyde Geronimi', 'Jack Kinney', 'H.C. Potter']",,"['Victory Through Air Power', 'Maj. Alexander P. Seversky']",['Walt Disney'],['Alexander de Seversky'],"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",['Walt Disney Productions'],['United Artists'],,['65 min'],['United States'],['English'],"['$788,000']","['$799,000']",['Art Baker'],['Ray Rennahan'],"['\nJuly\xa017,\xa01943\xa0(1943-07-17)\n']","['Perce Pearce', 'T. Hee']",['Jack Dennis'],,,
8,The Three Caballeros,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney', 'Harold Young']","['Ted Sears', 'Bill Peet', 'Ralph Wright', 'Roy Williams']",,['Walt Disney'],"['Joaquin Garay', 'Clarence Nash', 'José Oliveira', 'Aurora Miranda', 'Carmen Molina', 'Dora Luz']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",['Walt Disney Productions'],['RKO Radio Pictures'],"['December\xa021,\xa01944\xa0(1944-12-21) (Mexico City)\nFebruary\xa03,\xa01945\xa0(1945-02-03) (United States)[1]']",['71 minutes'],['United States'],,,['$3.355 million (worldwide rentals)[2]'],,,,,,,,
9,Make Mine Music,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador']","['Homer Brightman', 'Eric Gurney', 'T. Hee', 'Sylvia Holland', 'Dick Huemer', 'Dick Kelsey', 'Dick Kinney', 'Jesse Marsh', 'Erdman Penner', 'Roy Williams']","['Casey at the Bat', 'Ernest Thayer', 'Peter and the Wolf', 'Sergei Prokofiev']","['Walt Disney', 'Joe Grant']","['Nelson Eddy', 'Dinah Shore', 'Benny Goodman', 'The Andrews Sisters', 'Jerry Colonna', 'Andy Russell', 'Sterling Holloway', 'David Lichine', 'Tania Riabouchinskaya', 'The Pied Pipers', ""The King's Men"", 'The Ken Darby Singers']","['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['April\xa020,\xa01946\xa0(1946-04-20) (New York City)[1]\nAugust\xa015,\xa01946\xa0(1946-08-15) (United States)[1]', 'April\xa020,\xa01946\xa0(1946-04-20) (New York City)[1]\nAugust\xa015,\xa01946\xa0(1946-08-15) (United States)[1]']",['75 minutes'],['United States'],['English'],['$1.35 million[2]'],['$3.275 million (worldwide rentals)[3]'],,,,,,,,
10,Song of the South,['Wilfred Jackson'],,"['Uncle Remus', 'Joel Chandler Harris']","['Walt Disney', 'Perce Pearce']","['Ruth Warrick', 'Lucile Watson', 'Hattie McDaniel', 'James Baskett', 'Bobby Driscoll', 'Luana Patten']","['Daniele Amfitheatrof', 'Paul J. Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],"['\nNovember\xa012,\xa01946\xa0(1946-11-12) (premiere)\nNovember\xa020,\xa01946\xa0(1946-11-20)\n']",['94 minutes[1]'],['United States'],['English'],['$2.125 million[2]'],['$65 million[3]'],,['Gregg Toland'],,,['William M. Morgan'],"['Maurice Rapf', 'Dalton S. Reymond', 'Bill Peet', 'George Stallings', 'Ralph Wright']",,
11,Fun and Fancy Free,"['Jack Kinney', 'Hamilton Luske', 'William Morgan']","['Homer Brightman', 'Eldon Dedini', 'Ted Sears']","['Little Bear Bongo', 'Sinclair Lewis', 'Jack and the Beanstalk']","['Walt Disney', 'Ben Sharpsteen']","['Cliff Edwards', 'Edgar Bergen', 'Luana Patten', 'Walt Disney', 'Clarence Nash', 'Pinto Colvig', 'Billy Gilbert', 'Anita Gordon']","['Oliver Wallace', 'Paul Smith', 'Eliot Daniel', 'Charles Wolcott']",['Walt Disney Productions'],['RKO Radio Pictures'],,['73 minutes'],['United States'],['English'],,['$3.165 million (worldwide rentals)[1]'],,,"['\nSeptember\xa027,\xa01947\xa0(1947-09-27)\n']",,['Jack Bachom'],,,
12,Melody Time,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Kinney']","['Winston Hibler', 'Erdman Penner', 'Homer Brightman', 'Ken Anderson', 'Ted Sears', 'Jesse Marsh']",,"['Walt Disney', 'Ben Sharpsteen']","['Roy Rogers', 'Trigger', 'Dennis Day', 'The Andrews Sisters', 'Fred Waring and the Pennsylvanians', 'Freddy Martin', 'Ethel Smith', 'Frances Langford', 'Buddy Clark']","['Eliot Daniel', 'Paul J. Smith', 'Ken Darby']",['Walt Disney Productions'],['RKO Radio Pictures'],,['75 minutes'],['United States'],['English'],['$1.5 million[1]'],['$2.56 million (worldwide rentals)[2]'],,['Winton Hoch'],"['May\xa027,\xa01948\xa0(1948-05-27)']",,['Donald HallidayThomas Scott'],,,
13,So Dear to My Heart,"['Harold D. Schuster', 'Hamilton Luske']",,"['Midnight and Jeremiah', 'Sterling North']","['Walt Disney', 'Perce Pearce']","['Burl Ives', 'Beulah Bondi', 'Harry Carey', 'Luana Patten', 'Bobby Driscoll']",['Paul Smith'],['Walt Disney Productions'],['RKO Radio Pictures'],"['November 29, 1948 (Chicago)\nJanuary 19, 1949 (Indianapolis)[1]']",['82 minutes'],['United States'],['English'],['$1.5 million[2]'],"['$3.7 million (U.S. rental) + $575,000 (foreign rental)[3][4]', '$3.7 million (U.S. rental) + $575,000 (foreign rental)[3][4]']",,['Winton C. Hoch'],,"['Ken Anderson', 'John Tucker Battle', 'Marc Davis', 'Bill Peet', 'Maurice Rapf', 'Ted Sears']",['Lloyd L. RichardsonThomas Scott'],,,
14,The Adventures of Ichabod and Mr. Toad,"['Ben Sharpsteen', 'Jack Kinney', 'Clyde Geronimi', 'James Algar']","['Erdman Penner', 'Winston Hibler', 'Ted Sears', 'Homer Brightman']","['The Wind in the Willows', 'Kenneth Grahame', 'The Legend of Sleepy Hollow', 'Washington Irving']",['Walt Disney'],"['Bing Crosby', 'Basil Rathbone', 'Eric Blore', ""J. Pat O'Malley"", 'Claude Allister']",['Oliver Wallace'],['Walt Disney Productions'],['RKO Radio Pictures'],,['68 minutes'],['United States'],['English'],,['$1.625 million (worldwide rentals)[1]'],,,"['\nOctober\xa05,\xa01949\xa0(1949-10-05)\n']",,['John O. Young'],,,
15,Cinderella (1950 film),"['Wilfred Jackson', 'Hamilton Luske', 'Clyde Geronimi']","['William Peet', 'Ted Sears', 'Homer Brightman', 'Kenneth Anderson', 'Erdman Penner', 'Winston Hibler']","['Cinderella', 'Charles Perrault']","['Walt Disney', 'Ben Sharpsteen']","['Ilene Woods', 'Eleanor Audley', 'Verna Felton', 'Claire Du Brey', 'Rhoda Williams', 'James MacDonald', 'Helene Stanley', 'Luis van Rooten', 'Don Barclay']","['Oliver Wallace', 'Paul Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],"['\nFebruary\xa015,\xa01950\xa0(1950-02-15) (Boston)\nMarch\xa04,\xa01950\xa0(1950-03-04) (United States)\n']",['74 minutes'],['United States'],['English'],['$2.2 million[1]'],['$182 million[2]'],,,,,['Donald Halliday'],,,
16,Treasure Island (1950 film),['Byron Haskin'],,"['Treasure Island', 'Robert Louis Stevenson']","['Walt Disney', 'Perce Pearce']","['Bobby Driscoll', 'Robert Newton', 'Basil Sydney', 'Finlay Currie']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1]']","['RKO Radio Pictures', 'RKO Radio Pictures[2]']","['June\xa022,\xa01950\xa0(1950-06-22) (London)[3]\nJuly\xa029,\xa01950\xa0(1950-07-29) (United States)[3]\nJuly\xa019,\xa01950\xa0(1950-07-19)[4]', 'June\xa022,\xa01950\xa0(1950-06-22) (London)[3]\nJuly\xa029,\xa01950\xa0(1950-07-29) (United States)[3]\nJuly\xa019,\xa01950\xa0(1950-07-19)[4]', 'June\xa022,\xa01950\xa0(1950-06-22) (London)[3]\nJuly\xa029,\xa01950\xa0(1950-07-29) (United States)[3]\nJuly\xa019,\xa01950\xa0(1950-07-19)[4]']",['96 minutes'],,['English'],['$1.8 million[5]'],['$4.1 million (worldwide rentals) [6]'],,['Freddie Young'],,['Lawrence Edward Watkin'],['Alan Jaggs'],,['United StatesUnited Kingdom'],
17,Alice in Wonderland (1951 film),"['Ben Sharpsteen', 'Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Winston Hibler', 'Ted Sears', 'Bill Peet', 'Erdman Penner', 'Dick Kelsey', 'Joe Grant', 'Dick Huemer']","[""Alice's Adventures in Wonderland"", 'Through the Looking-Glass', 'Lewis Carroll']",['Walt Disney'],"['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway', 'Jerry Colonna', 'Verna Felton', ""J. Pat O'Malley"", 'Bill Thompson', 'Heather Angel']",['Oliver Wallace'],['Walt Disney Productions'],['RKO Radio Pictures'],"['July\xa026,\xa01951\xa0(1951-07-26) (London)[1]\nJuly\xa028,\xa01951\xa0(1951-07-28) (New York City)[1]\n\nSeptember\xa014,\xa01951\xa0(1951-09-14) (United States)', 'July\xa026,\xa01951\xa0(1951-07-26) (London)[1]\nJuly\xa028,\xa01951\xa0(1951-07-28) (New York City)[1]\n\nSeptember\xa014,\xa01951\xa0(1951-09-14) (United States)']",['75 minutes'],['United States'],['English'],['$3 million[2]'],"['\n$2.4 million (1951, domestic)\n$3.5 million (1974, domestic)\n']",,,,,['Lloyd Richardson'],,,
18,The Story of Robin Hood (film),['Ken Annakin'],,,"['Perce Pearce', 'Walt Disney']","['Richard Todd', 'Joan Rice', 'Peter Finch']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1][2]', 'RKO-Walt Disney British Productions Limited[1][2]']",['RKO Radio Pictures Ltd.'],"['13\xa0March\xa01952\xa0(1952-03-13) (London)[3]\n26\xa0June\xa01952\xa0(1952-06-26) (United States)[3]', '13\xa0March\xa01952\xa0(1952-03-13) (London)[3]\n26\xa0June\xa01952\xa0(1952-06-26) (United States)[3]']",['84 minutes'],,['English'],,['$2.1 million (US rentals)[4]'],,['Guy Green'],,['Lawrence Edward Watkin'],['Gordon Pilkington'],,['United StatesUnited Kingdom'],
19,Peter Pan (1953 film),"['Hamilton Luske', 'Clyde Geronimi', 'Wilfred Jackson']","['Ted Sears', 'Erdman Penner', 'Bill Peet', 'Winston Hibler', 'Ralph Wright']","['Peter and Wendy', 'J. M. Barrie']",['Walt Disney'],"['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried', 'Bill Thompson', 'Heather Angel', 'Paul Collins', 'Candy Candido']",['Oliver Wallace'],['Walt Disney Productions'],['RKO Radio Pictures'],,['77 minutes'],['United States'],['English'],['$4 million[1]'],['$87.4 million (United States and Canada)[1]'],['Tom Conway'],,"['\nFebruary\xa05,\xa01953\xa0(1953-02-05)\n']",,['Donald Halliday'],,,
20,The Sword and the Rose,['Ken Annakin'],,"['When Knighthood Was in Flower', 'Charles Major', 'James B. Fagan']","['Perce Pearce', 'Walt Disney']","['Glynis Johns', 'James Robertson Justice', 'Richard Todd', 'Michael Gough', 'Peter Copley', 'Ernest Jay', 'D. A. Clarke-Smith', 'Gérard Oury', 'Rosalie Crutchley', 'Bryan Coleman']",['Clifton Parker'],"['RKO-Walt Disney British Productions Limited', 'RKO-Walt Disney British Productions Limited[1]']","['RKO Radio Pictures Ltd.', 'RKO Radio Pictures Ltd.[2]']",,['92 minutes'],,['English'],['$2 million[4]'],['$1 million (US)[5]'],,['Geoffrey Unsworth'],"['July\xa023,\xa01953\xa0(1953-07-23) (United States)[3]']",,['Gerald Thomas'],['Lawrence Edward Watkin'],['United Kingdom  United States'],
21,The Living Desert,['James Algar'],,,"['Ben Sharpsteen', 'Walt Disney']",,['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['69 minutes'],['United States'],['English'],"['$300,000']",['$2.6 million (US)[1]'],['Winston Hibler'],['N. Paul Kenworthy'],"['\nNovember\xa010,\xa01953\xa0(1953-11-10)\n']","['James Algar', 'Winston Hibler']",['Norman R. Palmer'],,,
22,Rob Roy: The Highland Rogue,['Harold French'],,,"['Perce Pearce', 'Walt Disney']","['Richard Todd', 'Glynis Johns', 'James Robertson Justice', 'Michael Gough', 'Finlay Currie', 'Geoffrey Keen']",['Cedric Thorpe Davie'],"['RKO-Walt Disney British Productions', 'RKO-Walt Disney British Productions[1]']",['RKO Radio Pictures'],"['26\xa0October\xa01953\xa0(1953-10-26) (London)[2]\n27\xa0February\xa01954\xa0(1954-02-27) (United States)[2]', '26\xa0October\xa01953\xa0(1953-10-26) (London)[2]\n27\xa0February\xa01954\xa0(1954-02-27) (United States)[2]']",['81 minutes'],,['English'],['$1.8 million[3]'],,,['Guy Green'],,['Lawrence Edward Watkin'],['Geoffrey Foot'],,['United KingdomUnited States'],
23,The Vanishing Prairie,['James Algar'],,,"['Ben Sharpsteen', 'Walt Disney']",,['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['60 minutes (VHS and Wild Discovery version)71 minutes (original)'],['United States'],['English'],,['$1.75 million (US and Canadian rentals)[1]'],['Winston Hibler'],['N. Paul Kenworthy'],"['\nAugust\xa017,\xa01954\xa0(1954-08-17)\n']","['James Algar', 'Winston Hibler']",['Lloyd L. Richardson'],,,
24,"20,000 Leagues Under the Sea (1954 film)",['Richard Fleischer'],,"['Twenty Thousand Leagues Under the Seas', 'Jules Verne']",['Walt Disney'],"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre']",['Paul Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['127 minutes'],['United States'],['English'],['$5 million[1]'],['$28.2 million[2]'],,['Franz Planer'],"['\nDecember\xa023,\xa01954\xa0(1954-12-23)\n']",,['Elmo Williams'],['Earl Felton'],,
25,Davy Crockett: King of the Wild Frontier (film),['Norman Foster'],,,['Bill Walsh'],"['Fess Parker', 'Buddy Ebsen']","['George Bruns', 'Edward H. Plumb']",['Walt Disney Productions'],"['Buena Vista Film Distribution Co., Inc.']",,['93 minutes'],['United States'],['English'],,"['$2,150,000 (US)[1]']",,['Charles P. Boyle'],"['May\xa025,\xa01955\xa0(1955-05-25)']",['Tom Blackburn'],['Chester W. Schaeffer'],,,
26,Lady and the Tramp,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Erdman Penner', 'Ralph Wright', 'Don DaGradi', 'Joe Grant']",['Ward Greene'],['Walt Disney'],"['Barbara Luddy', 'Larry Roberts', 'Bill Thompson', 'Dallas McKennon', 'Verna Felton', 'Peggy Lee']",['Oliver Wallace'],['Walt Disney Productions'],['Buena Vista Film Distribution'],,['76 minutes'],['United States'],['English'],['$4 million[1]'],['$187 million[2]'],,,"['\nJune\xa022,\xa01955\xa0(1955-06-22)\n']",,['Don Halliday'],,,
27,The African Lion,['James Algar'],,,"['Walt Disney', 'Ben Sharpsteen']",,['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['75 minutes'],['United States'],['English'],,['$2.1 million (US)[2]'],['Winston Hibler'],['Alfred MilotteElma Milotte'],"['September\xa014,\xa01955\xa0(1955-09-14)[1]']","['James Algar', 'Winston Hibler']",['Norman R. Palmer'],,,
28,The Littlest Outlaw,['Roberto Gavaldón'],,,,"['Pedro Armendáriz', 'Joseph Calleia']",['William Lava'],['Walt Disney Productions'],['Buena Vista Distribution'],,['73 minutes'],,,,['$1.6 million (US)[1]'],,['Alex Phillips'],"['December\xa022,\xa01955\xa0(1955-12-22)']",,['Carlos Savage'],,['United StatesMexico'],
29,The Great Locomotive Chase,['Francis D. Lyon'],,,['Walt Disney'],"['Fess Parker', 'Jeffrey Hunter', 'John Lupton', 'Jeff York', 'Slim Pickens']",['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['85 minutes'],['United States'],['English'],,['$1.7 million (US)[2]'],,['Charles Boyle'],"['June 8, 1956[1]']",['Lawrence Edward Watkin'],['Ellsworth Hoagland'],,,
30,Davy Crockett and the River Pirates,['Norman Foster'],,,['Bill Walsh'],"['Fess Parker', 'Buddy Ebsen', 'Jeff York']","['George Bruns', 'Edward H. Plumb']",['Walt Disney Productions'],"['Buena Vista Film Distribution Co., Inc.']",,['81 minutes'],['United States'],['English'],,,,['Bert Glennon'],"['\nJuly\xa018,\xa01956\xa0(1956-07-18)\n']",['Tom Blackburn'],['Stanley Johnson'],,,
31,Secrets of Life,['James Algar'],,,"['Ben Sharpsteen', 'Walt Disney']",,['Paul Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['70 minutes'],['United States'],['English'],,,['Winston Hibler'],"['William A. Anderson', 'Jack Couffer', 'George MacGinitie', 'Nettie MacGinitie', 'Roman Vishniac']","['\nSeptember\xa04,\xa01956\xa0(1956-09-04)\n']",['James Algar'],['Anthony Gerard'],,,
32,Westward Ho the Wagons!,['William Beaudine'],,['Mary Jane Carr'],['Bill Walsh'],"['Fess Parker', 'Kathleen Crowley', 'Jeff York', 'Sebastian Cabot', 'George Reeves', 'David Stollery']",['George Bruns'],['Walt Disney Productions'],['Buena Vista Distribution'],,['90 minutes'],['United States'],['English'],,['$2.75 million (US)[1]'],,"['Charles P. Boyle', 'A.S.C.']","['\nDecember\xa020,\xa01956\xa0(1956-12-20)\n']",,"['Cotton Warburton', 'A.C.E.']",['Tom Blackburn'],,
33,Johnny Tremain (film),['Robert Stevenson'],,,['Walt Disney'],"['Hal Stalmaster', 'Luana Patten', 'Jeff York', 'Sebastian Cabot']",['George Bruns'],['Walt Disney Productions'],['Buena Vista Distribution'],,['80 minutes'],['United States'],['English'],"['$700,000[1]']",,,['Charles P. Boyle'],"['June\xa019,\xa01957\xa0(1957-06-19)']","['Esther Forbes', 'Tom Blackburn']",['Stanley E. Johnson'],,,
34,Perri (film),"['N. Paul Kenworthy', 'Ralph Wright']",,,['Winston Hibler'],,"['Paul J. Smith', 'George Bruns', 'Carl Brandt']",['Walt Disney Productions'],['Buena Vista Distribution'],,['75 minutes'],['United States'],['English'],,['$1.75 million (US rentals)[1]'],['Winston Hibler'],,"['August\xa028,\xa01957\xa0(1957-08-28)']","['Winston Hibler', 'Felix Salten', 'Book']",['Jack Atwood'],,,
35,Old Yeller (film),['Robert Stevenson'],,"['Old Yeller', 'Fred Gipson']",['Walt Disney'],"['Dorothy McGuire', 'Fess Parker', 'Jeff York', 'Tommy Kirk', 'Kevin Corcoran', 'Beverly Washburn', 'Chuck Connors']","['Oliver Wallace', 'Will Schaefer']",['Walt Disney Productions'],['Buena Vista Distribution'],,['84 minutes'],['United States'],['English'],,['$6.25 million (U.S./Canada rentals)[1]'],,['Charles P. Boyle'],"['\nDecember\xa025,\xa01957\xa0(1957-12-25)\n']",,['Stanley E. Johnson'],['William Tunberg'],,
36,The Light in the Forest (film),['Herschel Daugherty'],,['Conrad Richter'],['Walt Disney'],"['Fess Parker', 'Wendell Corey', 'Joanne Dru', 'James MacArthur', 'Jessica Tandy']",['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['83 minutes'],['United States'],['English'],,['$2 million[1]'],,['Ellsworth Fredericks'],"['\nJuly\xa08,\xa01958\xa0(1958-07-08)\n']",['Lawrence Edward Watkin'],,,,
37,White Wilderness (film),['James Algar'],,,"['Ben Sharpsteen', 'Walt Disney']",,['Oliver Wallace'],['Walt Disney Productions'],['Buena Vista Distribution'],,['72 minutes'],,['English'],,"['$1.8 million (est. US/Canada rentals)[1][2]', '$1.8 million (est. US/Canada rentals)[1][2]']",['Winston Hibler'],,"['\nAugust\xa012,\xa01958\xa0(1958-08-12)\n']",['James Algar'],['Norman R. Palmer'],,['United StatesCanada'],
38,Tonka (film),['Lewis R. Foster'],,"[""Comanche: Story of America's Most Heroic Horseby David Appel""]",['James C. Pratt'],"['Sal Mineo', 'Philip Carey', 'Jerome Courtland', 'Rafael Campos']",['Oliver Wallace'],['Walt Disney Productions'],['Buena Vista Distribution'],,['97 minutes'],['United States'],['English'],,['$2.5 million (est. US/ Canada rentals)[1]'],,['Loyal Griggs'],"['\nDecember\xa025,\xa01958\xa0(1958-12-25)\n']",['Lillie Hayward'],['Ellsworth Hoagland'],,,
39,Sleeping Beauty (1959 film),"['Clyde Geronimi', 'Wolfgang Reitherman', 'Eric Larson', 'Les Clark']","['Erdman Penner', 'Winston Hibler', 'Bill Peet', 'Ted Sears', 'Ralph Wright']","['Sleeping Beauty', 'Charles Perrault']",['Walt Disney'],"['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton', 'Barbara Luddy', 'Barbara Jo Allen', 'Taylor Holmes', 'Bill Thompson']",['George Bruns'],['Walt Disney Productions'],['Buena Vista Distribution'],,['75 minutes'],['United States'],['English'],['$6 million[1]'],['$51.6 million (United States and Canada)[2]'],,,"['\nJanuary\xa029,\xa01959\xa0(1959-01-29)\n']",,['\nRoy M. Brewer Jr.\nDonald Halliday\n'],,,
40,The Shaggy Dog (1959 film),['Charles Barton'],,"['The Hound of Florence', 'Felix Salten']",['Walt Disney'],"['Fred MacMurray', 'Jean Hagen', 'Tommy Kirk', 'Annette Funicello', 'Cecil Kellaway', 'Alexander Scourby', 'James Westerfield', 'Jacques Aubuchon']",['Paul J. Smith'],['Walt Disney Productions'],['Buena Vista Distribution'],,['104 minutes'],['United States'],['English'],"['under $1 million[1] or $1,250,000[2]', 'under $1 million[1] or $1,250,000[2]']",['$12.3 million (US and Canada rentals)[3]'],['Paul Frees'],['Edward Colman'],"['\nMarch\xa019,\xa01959\xa0(1959-03-19)\n']",,['James Ballas'],"['Lillie Hayward', 'Bill Walsh']",,
