,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
284,Finding Nemo,['Andrew Stanton'],['Andrew Stanton'],,['Graham Walters'],"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Geoffrey Rush', 'Bill Hunter']",['Thomas Newman'],,['Buena Vista Pictures Distribution'],['Los Angeles'],['100 minutes[1]'],['United States'],['English'],['$94\xa0million[1]'],['$940.3\xa0million[1]'],,['Sharon Calahan'],,,['David Ian Salter'],"['Bob Peterson', 'David Reynolds']",,"['Walt Disney Pictures', 'Pixar Animation Studios']"
285,Pirates of the Caribbean: The Curse of the Black Pearl,['Gore Verbinski'],"['Stuart Beattie', 'Jay Wolpert']","['Walt Disney', 'Pirates of the Caribbean']",['Jerry Bruckheimer'],"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jonathan Pryce']",['Klaus Badelt'],,['Buena Vista Pictures Distribution'],['Disneyland Resort'],['143 minutes[1]'],['United States'],['English'],['$140 million[2]'],['$654.3 million[2]'],,['Dariusz Wolski'],,,"['Craig Wood', 'Stephen Rivkin', 'Arthur Schmidt']","['Ted Elliott', 'Terry Rossio']",,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
286,Freaky Friday (2003 film),['Mark Waters'],,"['Freaky Friday', 'Mary Rodgers']",['Andrew Gunn'],"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Chad Michael Murray', 'Harold Gould', 'Rosalind Chao', 'Lucille Soong']",['Rolfe Kent'],,['Buena Vista Pictures Distribution'],['Los Angeles'],['96 minutes'],['United States'],['English'],['$26 million[1]'],['$160.8 million[2]'],,['Oliver Wood'],,,['Bruce Green'],"['Heather Hach', 'Leslie Dixon']",,"['Walt Disney Pictures', 'Gunn Films']"
287,Stitch! The Movie,['\nTony Craig\nBobs Gannaway\n'],,,['Jess Winfield'],"['Chris Sanders', 'Daveigh Chase', 'Jeff Bennett', 'David Ogden Stiers', 'Kevin McDonald', 'Kevin Michael Richardson']",['Michael Tavera'],,['Walt Disney Home Entertainment'],,['64 minutes[1]'],['United States[1]'],['English'],,,,,"['\nAugust\xa026,\xa02003\xa0(2003-08-26)\n']",['Jess Winfield'],['Tony Mizgalski'],,,"['Walt Disney Television Animation', 'Walt Disney Television Animation[1][2]\nWalt Disney Pictures', 'Walt Disney Television Animation[1][2]\nWalt Disney Pictures', 'Walt Disney Pictures']"
288,George of the Jungle 2,['David Grossman'],,"['George of the Jungle', 'Jay Ward', 'Bill Scott']","['Gregg Hoffman', 'Jordan Kerner']","['Thomas Haden Church', 'Christopher Showerman', 'Julie Benz', 'John Cleese', 'Christina Pickles', 'Angus T. Jones', 'John Kassir', 'Michael Clarke Duncan']",['J. A. C. Redford'],,['Walt Disney Home Entertainment'],,['87 minutes'],,['English'],,,,['David Burr'],"['October\xa021,\xa02003\xa0(2003-10-21)[1]']",,['Alan Cody'],['Jordan Moffet'],['United StatesAustralia'],"['Walt Disney Pictures', 'The Kerner Entertainment Company']"
289,Brother Bear,"['Aaron Blaise', 'Robert Walker']","['Nathan Greno', 'Stevie Wermers-Skelton']",,['Chuck Williams'],"['Joaquin Phoenix', 'Jeremy Suarez', 'Rick Moranis', 'Dave Thomas', 'Jason Raize', 'D. B. Sweeney']","['Phil Collins', 'Mark Mancina']",,['Buena Vista Pictures Distribution'],['New Amsterdam Theatre'],['85 minutes'],['United States'],,['$46 million[1]'],['$250.4 million[2]'],,,,,['Tim Mertens'],"['Tab Murphy', 'David Hoselton', 'Steve Bencich', 'Ron J. Friedman']",,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
290,The Haunted Mansion (2003 film),['Rob Minkoff'],,"['The Haunted Mansion', 'Walt Disney', 'The Haunted Mansionby Walt Disney[1]']","['Don Hahn', 'Andrew Gunn']","['Eddie Murphy', 'Terence Stamp', 'Wallace Shawn', 'Marsha Thomason', 'Jennifer Tilly']",['Mark Mancina'],"['Walt Disney Pictures', 'Walt Disney Pictures[1]']","['Buena Vista Pictures Distribution', 'Buena Vista Pictures Distribution[1]']",,['87 minutes[2]'],['United States'],['English'],['$90 million[3]'],['$182.3 million[3]'],,['Remi Adefarasin'],"['\nNovember\xa026,\xa02003\xa0(2003-11-26)\n']",['David Berenbaum'],['Priscilla Nedd-Friendly'],,,
291,The Young Black Stallion,['Simon Wincer'],['Jeanne Rosenberg'],"['The Young Black Stallion', 'Walter Farley']","['Fred Roos', 'Frank Marshall']",['Richard Romanus'],['William Ross'],,['Buena Vista Pictures Distribution'],,['50 minutes'],['United States'],['English'],,['$9.6 million[1]'],,['Reed Smoot'],"['\nDecember\xa025,\xa02003\xa0(2003-12-25)\n']",,['Bud Smith'],['Jeanne Rosenberg'],,"['Walt Disney Pictures', 'The Kennedy/Marshall Company']"
292,Teacher's Pet (2004 film),['Timothy Björklund'],,"[""Teacher's Pet"", 'Gary Baseman']",['Stephen Swofford'],"['Nathan Lane', 'Shaun Fleming', 'Debra Jo Rupp', 'Kelsey Grammer', 'David Ogden Stiers', 'Jerry Stiller', 'Rosalyn Landor']",['Stephen James Taylor'],,['Buena Vista Pictures Distribution'],,['74 minutes'],['United States'],['English'],['$10 million'],['$6.5 million[1]'],,,"['\nJanuary\xa016,\xa02004\xa0(2004-01-16)\n']","['Bill Steinkellner', 'Cheri Steinkellner']",,,,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Toon City Animation']"
293,Miracle (2004 film),"[""Gavin O'Connor""]",,,"['Mark Ciardi', 'Ross Greenburg', 'Justis Greene', ""Greg O'Connor""]","['Kurt Russell', 'Patricia Clarkson', 'Noah Emmerich']",['Mark Isham'],,['Buena Vista Pictures Distribution'],,['136 minutes'],['United States'],['English'],['$28 million[1]'],['$64.5 million[1]'],,['Dan Stoloff'],"['\nFebruary\xa06,\xa02004\xa0(2004-02-06)\n']","['Eric Guggenheim', 'Mike Rich']",['John Gilroy'],,,['Walt Disney Pictures']
